CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
01/31/2018,1601,1F,3600 N FRANKLINTOWN RD,HOMICIDE,,FIREARM,821,SOUTHWESTERN,Gwynns Falls/Leakin Park,-76.67699,39.30479,"(39.30479, -76.67699)",Public Are,1
01/30/2018,2208,9S,4400 MARX AV,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.55745,39.33071,"(39.33071, -76.55745)",Street,1
01/30/2018,322,1F,4100 GROVELAND AV,HOMICIDE,,FIREARM,621,NORTHWESTERN,West Arlington,-76.68739,39.34078,"(39.34078, -76.68739)",Street,1
01/30/2018,322,9S,4100 GROVELAND AV,SHOOTING,,FIREARM,621,NORTHWESTERN,West Arlington,-76.68739,39.34078,"(39.34078, -76.68739)",Street,1
01/30/2018,322,9S,4100 GROVELAND AV,SHOOTING,,FIREARM,621,NORTHWESTERN,West Arlington,-76.68739,39.34078,"(39.34078, -76.68739)",Street,1
01/30/2018,211,9S,1800 N MOUNT ST,SHOOTING,,FIREARM,742,WESTERN,Sandtown-Winchester,-76.64497,39.30899,"(39.30899, -76.64497)",Alley,1
01/30/2018,55,9S,400 N LAKEWOOD AV,SHOOTING,,FIREARM,221,SOUTHEASTERN,McElderry Park,-76.57931,39.29592,"(39.29592, -76.57931)",Street,1
01/29/2018,1639,9S,5200 CUTHBERT AV,SHOOTING,,FIREARM,633,NORTHWESTERN,Arlington,-76.68086,39.34665,"(39.34665, -76.68086)",Street,1
01/29/2018,1639,9S,5200 CUTHBERT AV,SHOOTING,,FIREARM,633,NORTHWESTERN,Arlington,-76.68086,39.34665,"(39.34665, -76.68086)",Street,1
01/29/2018,1623,9S,1500 SHIELDS PL,SHOOTING,,FIREARM,123,CENTRAL,Upton,-76.63416,39.30095,"(39.30095, -76.63416)",Street,1
01/28/2018,1824,1F,1500 APPLETON ST,HOMICIDE,,FIREARM,741,WESTERN,Easterwood,-76.64875,39.30572,"(39.30572, -76.64875)",Vehicle,1
01/28/2018,1820,9S,3200 LEEDS ST,SHOOTING,,FIREARM,842,SOUTHWESTERN,Carroll-South Hilton,-76.67113,39.28308,"(39.28308, -76.67113)",Street,1
01/28/2018,304,9S,600 ASHBURTON ST,SHOOTING,,FIREARM,721,WESTERN,Mosher,-76.66145,39.29497,"(39.29497, -76.66145)",Street,1
01/27/2018,1857,1F,5300 CORDELIA AV,HOMICIDE,,FIREARM,633,NORTHWESTERN,Arlington,-76.68361,39.34768,"(39.34768, -76.68361)",Street,1
01/26/2018,1928,1O,1500 SPRUCE ST,HOMICIDE,,OTHER,911,SOUTHERN,Curtis Bay,-76.58941,39.22988,"(39.22988, -76.58941)",Dwelling,1
01/25/2018,2315,1F,1600 CLIFTVIEW AV,HOMICIDE,,FIREARM,342,EASTERN,Darley Park,-76.59558,39.31524,"(39.31524, -76.59558)",Vehicle,1
01/24/2018,2037,1F,1000 BILLIE HOLIDAY CT,HOMICIDE,,FIREARM,313,EASTERN,Gay Street,-76.59692,39.30216,"(39.30216, -76.59692)",Dwelling,1
01/24/2018,1904,9S,5300 FRANKFORD AV,SHOOTING,,FIREARM,444,NORTHEASTERN,Frankford,-76.54079,39.32441,"(39.32441, -76.54079)",Parking Lo,1
01/23/2018,1940,9S,500 E COLD SPRING LA,SHOOTING,,FIREARM,524,NORTHERN,Richnor Springs,-76.60946,39.34618,"(39.34618, -76.60946)",Street,1
01/23/2018,1251,1F,1300 DIVISION ST,HOMICIDE,,FIREARM,123,CENTRAL,Upton,-76.62973,39.30124,"(39.30124, -76.62973)",Vehicle,1
01/23/2018,1251,1F,1300 DIVISION ST,HOMICIDE,,FIREARM,123,CENTRAL,Upton,-76.62973,39.30124,"(39.30124, -76.62973)",Vehicle,1
01/22/2018,2232,1F,100 N FREMONT AV,HOMICIDE,,FIREARM,712,WESTERN,Poppleton,-76.62988,39.29068,"(39.29068, -76.62988)",Dwelling,1
01/21/2018,2255,9S,3600 ELLERSLIE AV,SHOOTING,,FIREARM,543,NORTHERN,Waverly,-76.60367,39.33213,"(39.33213, -76.60367)",Street,1
